,column1,column2,type
0,Teslarati,dictionaryhill,nt
1,WholeMarsBlog,Trotter87528503,nt
2,elonmusk,Space_Dog_Phill,nt
3,elonmusk,mrstego1,nt
4,elonmusk,Green_Fret,nt
5,ray4tesla,TONE13817103,nt
6,elonmusk,TeslaTejas,nt
7,ray4tesla,Joscocok,nt
8,elonmusk,Wallstreethack3,nt
9,WholeMarsBlog,noahsturis,nt
10,elonmusk,noahsturis,nt
11,elonmusk,KerryTruitt13,nt
12,WholeMarsBlog,KerryTruitt13,nt
13,elonmusk,SMWearMask,nt
14,EvaFoxU,CATERIN04743813,nt
15,JohnnaCrider1,CABO_BABY,nt
16,SawyerMerritt,CABO_BABY,nt
17,WholeMarsBlog,CABO_BABY,nt
18,teslaownersSV,CABO_BABY,nt
19,elonmusk,steveMmattison,nt
20,SawyerMerritt,SteveTamNJ,nt
21,GailAlfarATX,dezmondOliver,nt
22,Kristennetten,dezmondOliver,nt
23,EvaFoxU,dezmondOliver,nt
24,SawyerMerritt,dezmondOliver,nt
25,WholeMarsBlog,dezmondOliver,nt
26,WholeMarsBlog,The_Blck_Swan,nt
27,ray4tesla,ray4tesla,t
28,MattWallace888,Doanztr16837155,nt
29,elonmusk,IingeLapp,nt
30,elonmusk,IingeLapp,nt
31,elonmusk,BitcoinToSaveUs,nt
32,GailAlfarATX,John_Smith_012,nt
33,elonmusk,John_Smith_012,nt
34,JohnnaCrider1,John_Smith_012,nt
35,SawyerMerritt,John_Smith_012,nt
36,teslaownersSV,devilred1376,nt
37,WholeMarsBlog,GJagaban,nt
38,elonmusk,horvatkz,nt
39,GailAlfarATX,jmarino_91,nt
40,elonmusk,MediumFidelity,nt
41,elonmusk,DJChefB1,nt
42,WholeMarsBlog,solomg,nt
43,elonmusk,ChristopherCPX,nt
44,elonmusk,AldoFlo63517786,nt
45,Kristennetten,EmmetPeppers,nt
46,TheSmokingTire,dunbar422,nt
47,elonmusk,advo_CATE21,nt
48,elonmusk,rockstarmind,nt
49,WholeMarsBlog,ParodyMusk,nt
50,elonmusk,orthereaboot,nt
51,WholeMarsBlog,Richard48371898,nt
52,WholeMarsBlog,TeslaLisa,nt
53,GailAlfarATX,otacon122,nt
54,teslaownersSV,TacosandTeslas,nt
55,GailAlfarATX,mysticl,nt
56,elonmusk,mysticl,nt
57,elonmusk,NingAustin,nt
58,SawyerMerritt,SteveWh38825469,nt
59,GailAlfarATX,PunishedGoon,nt
60,elonmusk,PunishedGoon,nt
